@relation pandasdata
@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute SA{1,0}
@attribute class{0,1}
@data
3.68936,3.08920,11.44430,2.20972,0,1
-2.50655,-3.74704,12.70523,8.83554,0,0
1.92159,4.03862,9.56989,3.39539,0,1
8.61952,3.86402,11.73572,5.83458,0,1
5.42381,-0.35893,10.89673,5.16628,1,0
-3.43345,0.30227,7.32420,3.28746,0,1
3.28216,2.53958,9.55677,5.92612,0,0
1.25259,2.23068,8.86693,3.51772,1,0
-0.14807,3.49561,8.70909,10.14573,1,0
8.67747,1.93812,9.77779,2.33989,0,1
-1.83074,-0.59612,10.23080,1.22212,0,0
5.27402,-6.44529,11.58555,2.96244,1,0
-0.67030,2.94583,10.62634,6.78791,1,0
5.37694,2.69001,11.82746,1.53502,0,1
1.05381,-0.43801,4.30296,6.46961,0,1
1.62227,-1.38953,13.36574,4.36305,0,0
3.86041,4.34205,7.68887,8.70821,0,1
0.83204,2.64983,8.23935,8.40515,0,1
1.68533,0.65725,9.81753,-0.82638,0,1
3.08499,4.78127,15.58050,7.01515,0,1
-1.59643,-2.87622,5.56389,3.55423,0,1
-3.99803,1.95302,12.59685,3.22727,0,0
-0.29765,1.23202,12.98782,7.96312,0,0
-0.44526,2.32108,11.21154,6.04081,1,0
-2.79814,1.14396,10.99128,6.52617,0,1
-2.17911,0.67848,12.35888,4.79586,0,1
0.51815,-5.56298,12.89205,3.12256,1,0
-3.21660,2.31234,11.27894,2.23816,0,0
-3.63725,3.05000,6.28801,5.73008,1,0
-5.60482,2.82621,14.75907,6.02550,1,0
4.27707,10.29183,10.30308,6.00394,0,1
-0.34843,0.36303,4.20942,1.81135,1,0
-0.86475,5.00601,11.88091,4.61316,0,1
2.72482,3.14008,9.53390,0.67547,0,0
-1.68251,-1.51045,10.42988,4.83907,0,0
1.75300,0.02311,12.42237,7.51578,1,0
-2.40527,3.70202,8.60458,5.24290,1,0
0.71487,1.29893,8.59755,2.90742,1,0
2.74876,-0.08524,7.46891,7.01260,0,0
0.35895,3.10640,7.51800,0.64091,0,0
1.16674,0.52465,7.27014,7.45059,1,0
0.57791,2.55007,7.76204,3.65819,1,1
1.66984,0.56100,6.39154,2.28863,0,0
4.33413,0.04972,8.63909,1.70679,0,1
7.03467,4.39053,10.85658,9.10560,1,1
0.41051,-0.23465,7.42225,4.13407,1,1
6.06426,0.27431,7.83003,6.73022,0,0
0.10626,0.31237,8.88712,5.99486,0,1
-0.72974,-2.61479,10.01013,4.77149,0,0
6.82959,3.09674,10.71227,7.43440,0,1
5.88574,2.75739,6.31030,3.74091,1,1
-2.73335,2.77163,9.07210,2.77980,0,0
4.39710,3.02124,12.51594,8.20654,0,1
1.36065,1.73055,9.37686,-0.57153,0,1
0.51010,0.76827,11.96479,2.90026,0,1
5.38252,3.98636,11.57128,7.75735,0,1
-2.49660,-0.83053,17.40106,4.34235,0,0
1.28246,-1.19579,9.53622,0.17882,0,0
-0.68261,-0.94987,6.76323,1.91459,0,1
-1.61190,-3.33988,7.98603,4.06889,0,0
-0.94454,-1.15706,9.34466,0.74854,0,1
2.42051,6.37594,5.48969,4.41048,0,1
3.60642,-3.59925,15.39765,10.28260,0,1
0.05403,-1.74525,10.11693,2.42019,0,0
0.36441,4.75848,13.11115,3.71438,0,0
-1.53952,1.67168,9.63023,3.96115,0,1
0.83356,0.39720,8.55548,2.01142,0,1
-1.47855,-0.02187,5.86213,2.21245,1,0
3.85209,-0.45227,15.67062,8.41044,0,1
0.43625,3.19549,11.14675,9.94265,0,1
5.81032,-3.18021,10.62475,1.47651,1,0
-3.68870,2.18271,6.96331,7.28519,0,1
-0.44127,3.04308,10.98668,9.14797,1,0
4.60935,0.62758,7.01957,7.89168,1,0
-1.06934,3.17096,11.23263,7.97736,0,1
2.94754,2.80794,8.59108,6.18636,1,0
-2.71179,2.34804,10.51057,7.84407,0,1
-1.76681,3.02348,8.85325,6.47196,0,1
4.60564,10.93208,10.05052,5.14508,0,1
2.65714,1.51564,8.02733,2.39249,0,1
