@relation pandasdata
@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute SA{1,0}
@attribute class{0,1}
@data
4.54684,-0.32088,11.17088,2.72460,0,1
0.78609,-2.16779,12.04114,3.16574,0,0
1.86971,1.51901,7.81506,-2.40629,0,0
-0.80199,1.03443,9.54672,9.27611,1,0
-2.27105,0.37647,7.72369,4.27608,1,1
-1.60919,0.37550,12.05137,6.69235,1,0
-2.17262,1.91177,11.41305,2.97468,0,0
0.29806,4.42963,9.44662,2.19912,1,1
5.22792,-0.65908,14.12886,10.21786,1,0
5.05965,-6.97585,7.87697,0.34237,1,0
1.01549,-3.17576,10.04962,2.20829,0,0
-0.75393,2.87630,8.58472,3.92104,0,0
0.58875,2.34716,14.12807,6.46674,0,0
0.37550,0.05891,10.67254,3.37527,1,0
-2.51414,2.96887,8.71838,6.11706,0,0
1.03750,1.90067,11.54407,2.86045,0,0
2.15016,-0.07877,10.32750,4.72189,1,0
-0.99301,0.98475,12.03453,3.15028,0,0
-2.60030,5.19478,10.03660,1.85446,1,0
0.95391,0.71647,12.38092,5.53052,1,0
-8.85783,6.98868,8.41602,4.03120,1,0
3.85843,0.46659,11.57125,6.29655,0,0
0.35627,2.25204,13.21674,6.18552,1,0
0.37629,1.71834,9.80346,5.58215,0,0
1.93866,0.59272,13.60682,4.63843,0,0
-3.39464,4.88117,7.32169,9.50669,1,0
3.51930,-2.29842,12.18959,6.74859,0,0
4.30407,-0.96688,8.51365,1.09218,0,0
0.68219,2.79619,10.45333,8.57073,1,0
-1.12596,-2.16649,5.30788,7.15154,0,0
-1.48684,-0.09320,10.64798,4.41203,1,0
5.25717,-7.76738,12.99282,9.23857,1,0
2.30766,6.50090,5.37742,5.08687,1,0
0.76206,1.22749,11.85079,5.45485,1,0
1.00699,1.54711,10.73618,3.34677,1,0
1.42304,-1.12620,8.05696,4.69996,1,0
-0.85589,2.83789,14.12988,5.72382,1,0
2.61351,-0.29956,13.68043,2.70414,1,0
-1.16813,1.75322,8.95020,6.86780,0,0
0.08151,1.32314,11.70252,5.01585,0,1
0.31499,1.46597,13.60092,3.84893,1,0
-1.57369,-1.90393,7.42011,3.18499,1,1
1.85205,2.01879,11.38745,11.68400,0,0
-1.46232,1.44497,5.67389,3.39793,0,0
-1.10851,1.17110,7.25158,3.36531,1,0
0.34289,-2.74881,10.23797,0.77781,0,0
1.20436,-1.80613,5.02159,8.45062,0,0
1.45446,-0.95657,12.29690,4.37133,1,0
-1.07919,-1.61381,3.65964,7.22422,0,0
1.70928,8.99440,12.19033,8.55333,0,1
3.47781,3.49240,11.59498,1.84258,0,1
-1.83784,1.89928,8.81852,4.37497,1,0
0.46289,-0.11502,16.26434,7.26595,1,0
-0.01330,4.08883,6.71889,3.41557,1,0
-1.94700,-0.80171,8.54046,4.32520,0,0
-0.42344,2.21680,8.69271,7.61943,0,0
2.36775,-2.96446,11.78577,5.26684,0,0
-0.07549,-2.63939,11.15131,7.39302,0,0
-1.29713,0.65172,7.72449,9.65805,1,1
3.97638,-2.59072,8.39846,6.62813,0,0
7.03488,1.43094,10.07700,7.66947,0,1
-3.82290,2.78002,9.85548,4.65816,1,0
-0.23099,1.54305,11.57560,6.93332,1,0
-0.42149,1.43639,14.23918,-0.91946,0,0
2.62474,0.46544,13.62469,5.65858,0,1
0.92411,-1.25084,13.61197,1.55975,0,0
4.54295,-0.69403,8.36823,-0.85234,0,0
-1.23056,1.76407,15.73988,4.58325,0,1
4.96255,0.03684,8.14148,4.17953,1,0
-0.55960,-1.39474,8.34290,4.23673,0,0
3.98766,1.92051,12.53580,2.77560,0,0
2.08597,-2.35340,7.52493,1.92474,1,0
3.95928,-1.09623,10.38882,2.20978,1,1
3.40545,2.72539,12.38090,3.46155,1,0
1.52429,0.45543,12.79534,7.48186,1,0
1.96715,0.36582,10.79911,0.68315,0,0
-3.43432,6.18008,9.60462,5.59100,1,0
-0.09674,1.60082,10.74819,2.12232,0,0
-0.07241,4.99389,10.76451,2.87385,0,0
-0.25837,0.40253,10.58297,8.30628,1,0
1.62429,0.21264,13.44556,7.58765,0,0
-6.49587,3.11109,5.47210,4.53018,0,0
-1.91298,3.70752,9.98843,8.08453,1,0
0.14509,-1.98199,7.79206,4.10092,1,0
2.94551,0.64405,9.93692,2.96163,0,0
1.61959,1.59677,10.34095,5.06792,1,0
0.84402,-1.15858,5.10935,7.18053,0,0
1.41118,-1.60632,8.32442,-1.10849,0,0
-0.84402,5.15086,12.15874,8.84692,1,0
1.61187,4.19220,9.44737,5.35891,0,0
-0.82944,0.72251,13.22435,5.37603,1,1
2.23037,0.81037,12.55114,4.23686,1,1
-3.31019,3.42119,12.12911,10.25962,1,0
-2.72719,1.09892,11.58315,10.49837,0,0
0.49302,-1.41813,13.26697,10.74592,0,0
5.60129,-1.71308,8.77040,2.39586,0,0
-2.62979,4.88609,11.87225,5.13582,1,0
1.18358,0.32335,10.55919,3.20330,1,0
0.98335,1.05184,12.46090,4.13635,1,0
-2.33411,4.58451,8.65847,1.71308,0,0
5.14524,1.23352,17.39418,7.27022,0,0
2.80802,-2.53954,12.22774,9.83915,0,0
-1.94057,-2.09702,10.41250,4.49717,0,0
-0.41633,1.33678,14.35411,4.91510,0,0
1.07662,2.92512,8.87071,8.14295,1,0
2.65460,0.54727,7.22899,11.94749,1,0
6.27470,0.71807,3.80127,-1.62470,0,0
0.73897,1.68896,11.47389,8.14712,0,0
2.78824,-0.74885,9.91238,5.74399,1,0
2.14870,-0.74203,10.61458,5.89737,1,0
0.92780,5.36083,10.85156,4.42911,0,0
4.02483,-2.94626,10.17095,1.21714,1,1
3.35056,-1.36114,10.06470,3.98611,0,0
1.93262,-1.70000,8.90963,-1.40431,0,0
5.96361,-1.16097,8.74246,3.67379,1,0
0.24970,0.63650,9.04579,6.00291,0,1
3.88971,2.64607,10.69019,2.76461,0,0
0.41003,4.84076,16.32678,5.57283,0,0
1.44264,1.14936,7.68719,4.15308,0,0
-1.63548,-0.40873,6.26364,5.33150,0,0
-3.88161,2.83273,12.53515,7.68547,1,0
-4.04686,0.89473,8.15959,2.84552,0,1
2.61218,1.05003,6.64918,8.10064,0,0
0.18333,1.77780,11.72801,7.10787,1,0
0.61628,-0.28001,7.89772,2.48179,1,0
2.18897,-2.04762,13.89347,3.44367,0,0
3.12139,-2.28169,15.11460,7.60627,1,0
2.33175,-0.31906,12.22417,-0.74201,1,0
-2.00433,-0.08471,5.70624,1.77363,0,0
-3.85217,1.72540,16.48411,6.30953,0,0
1.59779,-1.65839,13.88248,6.35434,0,0
1.52279,-2.19563,7.19760,6.98588,0,0
7.97041,-0.36365,9.31669,6.79066,1,0
0.23141,3.26106,6.69644,4.05362,1,0
3.55505,2.76921,8.86517,6.79693,0,1
-1.53730,0.16370,8.09799,4.28864,1,0
