@relation pandasdata
@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute SA{1,0}
@attribute class{0,1}
@data
-1.65201,4.07261,8.57658,4.96410,1,0
1.25778,-4.80647,12.66680,6.02500,0,1
-2.60424,1.55706,9.61879,8.58886,1,0
0.90613,-0.89933,13.45987,7.71389,0,1
-1.50110,-0.94608,14.39833,7.90168,1,1
0.98394,-2.75412,8.46072,-0.28851,0,0
5.15390,4.69735,5.48664,2.86288,0,1
0.40555,-2.66439,9.04652,5.29358,1,0
-0.79117,0.79590,14.97382,7.05739,0,1
1.74495,-5.16850,9.06760,5.87242,0,1
3.29387,-1.69353,8.71112,8.84420,1,1
1.73079,0.51649,7.45005,1.33381,1,0
0.71161,3.11228,12.20450,7.24921,0,0
2.80347,-3.47777,12.82550,-1.08669,0,1
3.52338,-2.90079,12.57253,3.47248,0,0
2.11172,4.04969,13.39839,4.26979,1,0
5.16598,4.42663,10.62933,5.23317,0,1
1.00346,4.35162,11.26242,8.50333,0,1
4.54490,1.64555,10.72241,4.47480,0,1
1.51673,2.13415,11.02842,5.91237,0,1
2.09189,0.28915,9.86927,4.36628,0,1
0.09013,-2.36324,7.56301,6.92901,1,0
-2.76461,4.99766,10.05518,3.36152,0,0
5.72804,1.09379,6.05790,2.39379,0,1
4.84848,2.95950,8.82766,4.90825,0,1
0.47706,-1.74417,9.87199,5.97624,0,1
0.26070,1.81131,13.07626,4.25814,1,0
7.78457,2.81404,5.85075,4.73036,1,1
1.44664,5.35492,10.03423,7.12148,1,1
4.97062,2.22308,9.21316,2.05575,0,0
-0.56324,-0.79006,11.65309,9.65199,0,1
0.43428,3.79699,18.13938,4.91946,0,1
-1.43483,0.29092,4.79002,3.11522,0,1
-0.77585,1.00813,9.98603,7.93150,0,0
2.54779,6.03320,11.88835,5.47090,1,0
-2.19554,3.63184,10.65270,1.76750,0,1
-0.40447,-0.24812,8.02856,3.59090,0,1
5.39983,2.20762,10.58797,5.33309,0,1
0.38265,0.74773,10.19633,6.03922,1,1
3.38513,0.86191,7.92589,5.07166,0,1
4.51512,3.34996,15.04077,7.09586,0,1
-0.64062,-0.53647,5.43320,1.30878,0,0
1.62265,-2.37111,8.77623,3.80130,0,1
0.36822,1.33247,12.10805,3.12021,0,1
3.41033,0.86271,10.43334,2.94622,1,0
-1.17417,4.36429,12.86731,0.69344,0,1
4.59867,2.46489,7.20604,1.80155,0,1
-1.03032,5.64017,8.99553,4.09396,0,1
-1.32945,6.68098,7.76508,0.18434,1,0
-0.68414,0.42499,10.70517,2.78778,0,0
-0.59562,3.60649,11.74191,4.17732,0,1
3.04572,0.51505,10.99312,3.05432,0,1
1.74971,1.02863,15.05045,6.83871,1,0
6.31494,0.95526,13.17575,7.78869,0,1
6.95830,-3.47491,11.38021,10.06078,1,0
-0.16533,-0.05732,10.85096,6.48358,0,1
1.11687,4.79228,9.67086,3.85764,1,0
-1.35379,-0.73535,12.35380,7.61338,0,1
0.85209,6.99443,12.90344,5.88279,0,1
-0.33746,-0.55974,10.39226,7.25793,1,1
1.41306,0.66478,14.14405,2.99769,1,0
4.77156,1.33704,10.88840,5.51891,1,0
-1.92064,1.60762,8.45174,6.11220,0,0
-0.13260,8.00709,10.21460,6.52794,0,1
-0.14117,1.70523,5.48075,4.29686,0,1
