@relation pandasdata
@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute SA{1,0}
@attribute class{0,1}
@data
0.77882,-1.95900,9.56588,6.34296,0,0
-1.11969,3.11727,9.21423,4.13867,0,0
-0.06979,3.76836,11.32846,6.98915,1,0
0.00455,5.25162,8.84961,5.65879,1,1
-0.25255,-0.80138,8.05465,7.80000,0,0
4.36812,-4.10404,11.93451,5.54926,0,0
-2.26718,2.67636,10.59247,9.93376,0,1
0.66623,0.67429,13.39923,-3.08519,0,0
1.92481,-4.95980,5.83800,3.07987,1,0
1.57180,1.86254,7.07655,4.49105,0,0
3.68940,-1.51364,6.14249,6.80806,1,1
-1.31770,2.29947,14.60679,5.87385,1,0
6.43356,2.68214,7.94946,2.51541,0,1
1.96696,3.00438,8.09128,3.58119,1,0
5.71591,3.65730,12.69239,3.21450,0,1
-2.68573,3.87290,11.12325,9.23073,1,1
2.10588,4.57352,9.30270,4.18098,1,0
-1.83493,-2.69399,10.52969,6.37680,0,1
-0.39899,1.67633,9.14025,4.48824,0,0
0.66678,1.81344,11.65159,3.01304,1,0
-0.20826,2.48555,8.25057,7.03176,1,0
5.01438,2.45361,8.14876,2.92336,1,1
1.20257,0.10072,9.28977,4.36516,1,1
0.03960,-3.10651,12.28575,10.90855,0,1
2.43982,-3.65737,10.11498,6.09679,1,0
-0.31914,4.28751,9.36509,6.60996,1,0
-1.54215,2.35519,9.95196,4.77000,1,0
1.49034,3.11568,4.53792,1.82138,1,1
1.66574,5.18432,13.50467,4.73121,1,0
0.06987,2.18472,8.81226,4.38881,1,0
4.15473,-0.02543,9.91593,5.68396,1,1
1.46096,-4.04271,15.43474,6.83546,1,1
0.28756,5.09593,10.99972,-1.46116,1,0
-1.29186,1.69626,10.28500,4.00997,1,1
3.88143,2.66604,9.49379,5.97412,0,0
-3.17318,1.75659,9.26598,5.77822,0,0
2.09051,1.93481,15.74614,6.48988,0,0
2.16146,4.24870,11.51886,4.26268,0,1
1.69070,1.17571,12.10454,3.94645,0,0
1.43047,1.76480,9.55000,3.61869,1,0
3.40749,0.23899,9.96118,3.39753,1,0
5.97896,4.15516,10.26903,5.71256,1,1
2.75080,1.35483,9.73292,6.67778,0,0
1.65998,4.12631,4.20186,2.76440,1,0
0.24825,2.47098,1.91153,4.25315,1,1
0.63381,-6.34535,9.93007,9.82372,0,0
0.14045,0.86553,9.50220,2.58653,1,0
5.13913,0.45436,5.58642,3.46032,0,0
1.07669,-3.57974,10.66998,8.47581,1,1
2.79940,4.39062,12.93961,6.60913,0,1
-0.28493,2.34359,11.44235,11.67467,0,1
-1.80759,2.35412,5.61754,5.88042,0,0
-1.79144,1.82215,5.68451,8.23515,0,0
5.70800,0.24415,10.50663,7.84492,0,1
2.72557,2.08301,10.36879,8.61484,1,1
0.03984,5.33502,10.45298,7.34489,1,0
-1.09355,2.56006,6.51650,6.73071,0,0
5.18108,-1.30812,6.01422,9.23881,0,1
2.62617,-0.39104,9.91488,11.40217,1,0
2.24789,3.41320,11.11656,2.47317,0,1
3.63337,1.52103,13.26892,4.68843,1,1
8.72729,3.28235,3.38965,5.13385,0,1
4.45571,-1.25327,9.28450,7.40237,1,0
0.30535,2.95211,10.51295,3.51588,1,1
-0.48465,-1.76196,9.74321,7.91489,0,1
4.36627,0.59138,10.84021,3.75481,0,1
6.11805,5.24870,10.26885,6.68313,1,1
-0.48198,0.71835,11.11403,0.10880,1,1
3.16238,0.50828,12.50392,2.76058,0,0
-0.75797,1.13709,9.82957,-0.01204,1,0
2.76716,3.86509,7.66335,6.79906,0,1
-0.35385,3.61608,6.66774,2.41836,1,1
2.26925,3.11214,9.83310,9.41352,0,1
-1.17491,-0.56692,12.05455,7.43547,0,1
-1.79590,0.75222,10.62852,5.34209,1,1
1.00839,1.85509,5.75256,3.14790,0,0
2.96966,-0.90787,6.69958,4.84251,0,1
-0.01866,4.08720,12.65073,4.89011,0,1
0.40106,-1.70978,10.46692,4.56403,1,0
-1.56629,-1.32649,13.39839,4.26979,0,1
1.95104,-3.57830,12.31242,5.90925,1,0
1.53712,-1.85241,7.89277,6.85651,0,0
-2.54284,1.14326,11.80513,8.82311,0,0
-1.45382,1.90341,8.96035,10.44540,1,1
1.79310,-3.33762,10.89564,6.68148,0,1
4.42582,0.70486,11.54541,4.82927,0,1
3.82954,-0.52367,6.57627,6.28756,1,0
1.04377,0.41646,8.66725,5.57781,1,1
3.87455,2.16615,6.31170,9.70891,1,1
-0.63102,1.71162,11.69532,2.78872,1,0
1.56241,-2.44936,12.47397,-0.04489,1,0
-1.72876,4.10058,8.18935,7.21392,0,1
-0.86198,4.28718,9.00889,-1.54679,1,0
3.47848,-0.64878,3.10021,5.63190,0,0
0.72407,1.53659,9.02956,5.51593,1,0
-3.10284,1.55543,8.03961,11.43687,0,0
-1.04679,0.98619,11.89225,7.21213,1,1
0.12533,4.27381,10.35676,3.26048,1,0
-1.18516,0.45127,11.50712,5.04859,1,1
0.85591,1.26540,9.67108,8.37694,1,0
-2.82462,0.06935,10.62414,10.05123,1,1
-1.21462,4.92963,12.56882,3.91250,0,0
-2.34313,-3.27036,4.97592,5.62053,0,0
-2.51220,4.04495,10.16926,-0.18194,1,1
5.61290,-4.88676,7.26160,2.85643,0,1
2.07063,0.52227,6.69967,2.50565,0,1
-2.02391,2.41881,15.30633,9.43323,0,0
1.19028,2.35714,8.49120,4.81572,1,1
0.67775,-0.67665,12.89605,-0.50388,0,0
-2.43179,3.32240,6.06224,3.79899,1,1
-1.13861,-3.02704,9.22703,4.89457,0,0
2.52233,1.95592,1.25733,4.60751,1,1
3.50215,-1.40030,10.44256,3.33190,1,0
4.46963,3.24634,5.66861,6.19699,0,1
-0.14895,-0.94503,11.24522,7.25669,0,0
5.09952,2.10059,9.46653,5.73406,1,1
6.36295,-1.11892,8.55927,9.36970,0,1
4.14438,1.97293,4.21445,3.95423,0,1
-0.61793,1.17775,7.13975,4.96529,1,0
0.43719,2.12294,8.24456,6.66065,0,0
0.86193,5.99501,7.28251,7.42429,0,1
2.93983,-2.39612,13.09449,8.86605,0,0
3.66648,1.02586,11.20535,4.54477,1,0
3.56720,1.84863,7.43022,-3.43708,1,0
4.95681,0.98272,10.28541,6.13191,1,0
