@relation pandasdata
@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute SA{1,0}
@attribute class{0,1}
@data
0.33285,1.45044,11.70280,6.32914,1,0
-4.57484,-0.16868,13.41346,7.01692,1,1
0.75708,5.31403,7.71014,-0.22356,1,1
1.72120,2.48451,10.42229,8.71440,1,1
3.93762,4.84564,12.71307,3.41458,0,1
1.29893,0.65940,7.66344,8.04482,0,0
1.02770,1.80509,10.25161,4.05572,1,0
4.19053,0.64301,5.63340,6.90752,0,1
-3.72432,2.12259,4.94554,1.89840,0,1
0.89843,5.12689,10.69165,4.68388,0,1
0.75190,-0.87456,8.29662,-1.30620,1,0
0.71868,-0.29840,9.16007,7.68923,1,1
4.50952,6.18768,10.09446,4.14951,0,1
4.79051,3.63396,14.90157,1.67873,0,1
3.91399,2.65015,15.51055,4.26322,0,0
2.08829,3.27766,14.04797,7.12426,1,0
1.40003,1.10656,9.41827,8.81886,0,0
0.29192,1.95698,8.46872,0.06285,0,0
-0.30086,1.30668,9.97233,4.96506,1,1
1.94346,1.02853,11.08550,4.83383,0,0
7.28290,-4.50495,9.47527,4.79389,0,1
0.48369,3.12521,16.61462,4.62944,0,1
-0.11505,5.59443,11.88688,5.84610,0,1
-0.83998,3.27336,9.86971,8.54351,0,0
2.04618,7.03206,9.83888,3.79789,0,1
-1.33472,3.11138,4.79733,3.67295,1,0
2.74023,1.97507,9.18454,8.30943,0,1
3.93219,1.80851,9.18749,0.43694,1,1
1.52328,2.88933,12.21711,2.21408,1,0
-0.60426,4.23985,11.77115,6.07444,0,0
3.58704,-0.54607,4.22238,1.35578,0,0
-1.13970,1.67561,10.05709,7.91399,0,0
2.22653,-0.79047,9.90310,1.50368,0,0
-0.50047,-0.46021,12.15394,6.91184,1,0
1.78735,-1.93027,13.16377,1.14978,1,0
5.98010,2.46699,9.77951,7.57260,0,1
4.56892,5.53567,8.59192,7.59308,1,1
1.06278,2.88139,8.75895,1.24691,0,0
0.25639,3.08005,7.28112,6.65242,1,0
-0.09388,1.50474,11.70171,2.47855,1,1
2.79515,-3.20218,9.14844,3.93544,1,0
1.18296,0.79690,10.79626,3.54768,1,0
-0.27377,-2.61136,11.01389,6.35939,0,0
3.03824,1.48479,8.95557,5.46390,0,0
4.67999,-2.12295,7.81325,3.67013,0,0
1.27140,1.35082,10.32270,3.14015,1,0
-1.89373,5.20458,12.61034,6.97991,1,0
-0.60905,1.43291,11.07107,1.93148,1,0
-2.84513,-3.68661,12.66180,4.86573,0,0
4.08306,1.55394,10.13925,3.26041,1,1
3.22594,-2.06430,8.36701,9.80780,1,0
0.40811,2.19855,13.06560,2.83365,0,1
-2.98309,6.72956,8.19213,4.42539,1,0
7.84749,-4.21792,10.87982,10.66462,1,0
1.31040,3.38008,7.83589,8.86802,1,0
-0.96842,2.07376,11.30505,8.68958,0,0
0.84921,1.16050,13.42288,5.61374,1,1
1.21108,1.21411,11.68039,5.79193,0,1
-4.47988,1.33833,11.27504,3.45389,0,0
0.67493,-0.99244,13.51670,7.37285,1,1
5.11221,1.51178,7.58071,7.45300,1,1
1.72985,5.57703,6.52288,2.57609,1,1
3.20506,4.50491,7.83721,1.76120,1,1
0.33812,0.16117,5.64588,9.08436,1,0
1.01793,1.84202,9.27701,10.38822,1,1
-0.23491,2.93823,6.45350,3.81481,1,1
-0.68098,0.30333,4.23732,1.68694,1,1
0.98392,3.02166,14.44672,5.97199,1,1
-1.22154,3.06503,8.08185,9.63566,0,0
0.70540,-0.26026,11.88859,1.44761,1,0
4.23867,-4.47959,5.45655,3.55509,0,1
2.67525,1.96249,9.61380,5.16291,0,1
3.06487,-0.68242,10.58241,3.88039,1,0
-1.33681,0.72694,8.23521,8.40304,0,0
0.59545,1.38481,10.41169,-0.88395,0,1
2.02762,1.36698,8.90496,0.52414,1,0
-1.34235,-2.60366,11.39123,4.99208,0,0
3.48493,-0.96112,10.93327,4.81442,0,0
-2.05144,5.17854,10.62540,4.54251,1,0
0.19565,0.54902,11.37464,13.29169,0,0
-1.23321,-1.30626,11.58377,2.85725,1,0
1.52175,1.52787,5.62646,0.44529,1,0
2.30650,-2.16848,9.91679,7.03311,0,1
-0.48676,-0.91110,8.36619,3.08305,1,1
-1.12512,0.72738,11.34794,8.63821,0,0
6.80485,-2.84266,6.13012,11.83806,1,0
-2.12293,7.16471,8.66917,6.42456,0,0
-0.56377,0.59040,12.21756,6.94111,0,1
3.06132,-1.11987,10.97886,5.41505,1,0
-3.00153,-1.41974,15.77509,8.57384,1,1
0.74739,-5.22283,10.57227,1.71681,1,0
-1.32678,1.15424,12.56767,3.46118,1,0
0.55089,3.88483,10.50139,2.35981,0,1
0.42580,-1.19365,13.56027,6.62699,0,0
-3.51849,5.78098,6.73898,10.43751,1,0
2.69663,1.42597,7.43861,2.68740,0,1
4.33120,4.27924,10.22437,-0.58488,1,1
3.89854,5.26181,8.06606,2.96065,0,1
-0.65456,0.27114,6.24271,-0.32815,1,1
0.85327,1.83724,11.87970,2.08496,1,0
-5.24189,2.36525,11.12153,6.02191,0,0
3.12714,0.84246,6.49469,3.25980,0,0
2.38691,2.07872,10.78527,6.27902,0,1
4.59433,4.37695,8.55006,3.99816,0,1
-1.01269,0.34577,11.54200,1.59055,0,1
1.45391,1.93238,10.06416,5.51395,0,0
5.59027,1.53514,13.92125,9.13033,1,0
-0.43787,-2.43185,9.33138,4.47322,0,0
7.33643,9.32599,6.08468,3.01060,0,1
-0.08383,3.15741,11.66299,5.29434,0,1
-1.09224,0.63908,9.95170,6.32195,0,1
-1.61736,0.73042,9.46026,10.94799,0,0
1.63217,-1.43876,9.25318,4.51412,0,0
2.40613,0.06020,14.46008,6.68953,1,0
1.00819,0.18729,10.92836,7.24489,1,0
1.81451,3.51959,5.36151,7.39252,0,0
-6.98623,-3.98905,9.67434,4.82167,1,1
2.22153,4.08759,7.69790,3.79641,0,1
-1.63158,0.76069,5.94781,2.99216,0,1
-2.42106,-0.37750,8.07785,9.98589,1,1
-3.03313,1.00334,9.94791,10.31404,0,0
-1.82506,-1.50724,6.58321,7.21920,0,0
1.72211,-0.99293,12.05377,4.70134,0,0
7.62802,1.24183,11.72317,1.82881,1,1
7.43272,3.54453,8.93686,4.61600,1,1
3.44027,0.12618,9.46929,3.65247,0,0
1.10798,-0.95558,6.57419,4.36523,0,0
1.44483,2.19028,3.75392,4.79891,1,0
-3.45924,1.27289,12.30497,4.74074,0,1
4.27017,6.68546,16.41542,8.77579,0,1
-0.26382,1.37410,14.90158,0.93714,1,1
0.66696,0.21278,6.42791,2.90180,0,0
-0.11953,1.17412,10.66205,6.70694,1,0
2.20368,3.03700,7.43442,6.41501,1,1
-2.45289,1.60482,7.97031,8.90074,1,0
-1.42062,-0.11195,13.06575,1.70779,1,1
0.55689,1.43078,12.00645,8.32192,1,0
-0.66564,1.94838,10.66394,-0.38941,0,1
1.92711,3.37584,12.80724,8.54124,1,0
2.98767,1.31053,6.81830,7.37918,0,0
3.78860,-5.74763,9.53831,3.52459,1,0
1.94483,3.66281,9.04315,6.32214,0,1
4.40507,0.23050,11.99347,4.43551,0,0
-4.90321,2.21731,7.42730,5.60041,1,0
4.64892,0.21520,8.62589,4.65962,0,1
1.54156,1.04101,11.16148,4.24173,1,0
0.66137,0.40761,7.06389,1.95345,0,1
4.54419,-1.37561,7.09148,4.01470,1,0
3.75356,-1.07304,8.96929,5.07134,0,1
-1.03606,5.04581,7.23557,6.80309,1,0
0.86048,2.29291,7.20482,-0.12273,0,0
2.67553,3.09210,6.77047,2.59331,1,1
3.00102,-2.12219,10.30963,5.41458,0,0
2.64736,-1.14681,14.99027,4.87336,1,1
2.98319,1.88725,4.12596,0.89027,0,1
-0.82397,1.96586,12.46068,4.28490,1,1
0.23526,-2.02462,7.80112,11.94032,0,1
3.14234,-0.13099,5.81131,4.71642,1,1
-0.71437,-0.47317,10.90430,3.33344,0,0
0.78029,7.65592,6.17053,6.82460,0,1
8.01976,6.62518,8.35292,3.54232,1,1
0.66888,-0.14984,7.45635,1.75425,0,1
-1.80706,-0.87911,12.45493,0.79771,0,0
-0.82650,-0.09688,11.91348,4.94299,0,0
0.19071,2.35661,12.55919,5.95364,0,1
1.56438,2.42448,10.87434,4.93216,1,1
2.49917,-0.44544,12.27000,7.44911,0,0
1.88039,4.18566,12.13376,1.22821,1,0
6.42392,-1.07102,10.54648,5.82268,1,0
1.88083,5.65367,9.72120,3.08510,0,1
-2.27563,1.17049,13.63882,3.91424,1,0
-2.66435,4.97568,10.72856,-0.51187,1,0
3.90858,1.48394,9.32379,5.60972,1,0
-0.24470,-2.08824,9.18185,2.59746,1,0
-0.22385,2.28819,7.50357,4.40249,0,0
5.62562,3.12944,11.56961,5.30511,1,1
2.89313,0.15496,10.35249,7.18953,0,1
