@relation pandasdata
@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute SA{1,0}
@attribute class{0,1}
@data
-0.58268,1.65510,12.13005,1.78994,0,1
-4.57484,-0.16868,15.28786,3.12140,1,1
2.30181,4.65245,10.44048,3.35871,0,1
-1.80449,0.68673,11.82448,10.32796,1,0
-0.08383,3.15741,11.17727,3.47459,0,1
-2.24144,4.08863,11.46244,8.70290,0,0
-0.62338,1.71096,12.13264,3.52724,1,0
2.60895,0.64613,10.69327,7.64406,0,0
0.87617,2.67098,8.14981,6.91037,1,0
0.33536,4.56025,7.88213,2.40144,1,0
0.58857,0.47098,11.28985,9.43992,1,0
1.91326,-1.77768,12.02356,11.48550,0,0
3.99392,1.28532,12.55919,5.95364,0,1
2.15940,0.48410,8.81423,9.97500,0,1
0.37363,-0.95089,11.31958,5.31692,0,0
0.25639,3.08005,6.84758,3.23188,1,0
-6.98623,-3.98905,11.72538,5.34601,1,1
4.23867,-4.47959,6.57184,11.12443,0,1
0.15983,0.79244,11.70280,6.32914,1,0
2.20813,-2.25300,6.47555,6.31783,0,0
0.36973,-0.46839,9.90596,2.42648,1,0
-2.32733,5.59555,11.28881,2.32036,0,1
1.94223,0.52913,10.45172,4.56923,0,0
3.93219,1.80851,9.93315,3.15549,1,1
0.39282,-0.59676,9.68770,8.24983,1,0
0.67493,-0.99244,10.01768,3.74600,1,1
4.81966,1.00811,7.28112,6.65242,1,0
3.90858,1.48394,10.37155,7.22333,1,0
0.21170,-0.72038,6.30061,5.12116,0,1
1.71936,4.30643,12.34226,8.10798,1,0
0.61578,0.66845,15.75311,6.45915,1,0
1.45391,1.93238,10.12284,10.26276,0,0
-0.14502,0.80319,13.08812,6.61989,0,0
-0.19015,-0.74072,7.06389,1.95345,0,1
-2.84513,-3.68661,9.33626,9.75486,0,0
1.12505,-0.05875,11.11157,6.81063,0,1
-0.30657,-1.32618,9.98286,4.65190,0,0
1.56682,-1.03028,11.09966,5.28700,0,1
4.11674,-0.90450,7.68304,7.31985,1,0
-1.54930,4.54613,4.04481,3.26324,1,0
-0.56377,0.59040,4.12596,0.89027,0,1
-7.14851,-2.34770,11.64368,4.76036,0,1
-3.21460,0.96525,8.19458,6.31925,1,0
-1.29093,2.09530,8.36701,9.80780,1,0
0.18198,4.83674,9.23109,8.62940,1,0
2.79828,0.55098,8.82887,2.34902,0,0
-3.58710,-1.05137,3.67452,3.97703,0,0
-0.09388,1.50474,9.16007,7.68923,1,1
4.08306,1.55394,8.27678,4.70429,1,1
0.39794,2.95564,10.32270,3.14015,1,0
4.65554,-0.48197,9.33856,6.87013,0,1
3.09988,-2.27157,12.87022,4.77331,1,0
3.46443,0.49613,7.17723,3.50419,0,0
1.06084,0.24547,10.23618,6.50961,1,0
8.18859,3.98505,11.67579,5.75493,0,1
0.84921,1.16050,15.89016,6.63087,1,1
2.89313,0.15496,8.82184,9.18282,0,1
-0.27377,-2.61136,11.34187,2.33505,0,0
3.75643,-1.53848,11.99122,2.82354,0,0
-0.73881,3.33666,6.81830,7.37918,0,0
1.72985,5.57703,7.83721,1.76120,1,1
3.20506,4.50491,9.96015,-3.69548,1,1
5.11221,1.51178,10.87218,7.32938,1,1
-0.30086,1.30668,12.74917,6.32371,1,1
1.01793,1.84202,12.46068,4.28490,1,1
-0.48676,-0.91110,5.56906,4.14910,1,1
0.98392,3.02166,7.69249,-0.94777,1,1
-0.90575,2.16956,9.98936,4.63232,0,1
0.55089,3.88483,10.27380,4.83774,0,1
4.50952,6.18768,9.03768,3.38233,0,1
5.84159,4.79045,5.45655,3.55509,0,1
-1.80059,3.33850,7.97680,7.74583,1,0
3.70006,3.83319,5.36151,7.39252,0,0
2.27837,1.88717,4.56346,4.05531,0,1
0.78851,2.07077,11.16148,4.24173,1,0
-4.09761,5.40051,6.78336,5.05844,1,0
3.85528,4.93629,10.29086,5.09006,0,1
0.71868,-0.29840,16.54505,9.66940,1,1
1.18296,0.79690,7.66022,7.96106,1,0
-0.86391,1.35981,10.28367,1.25590,1,0
0.19071,2.35661,11.29739,6.66480,0,1
0.91025,2.57486,11.88859,1.44761,1,0
5.13692,1.31346,8.69559,5.33495,0,1
3.28404,-1.98634,6.40515,-1.22001,1,0
0.75190,-0.87456,12.77237,2.51767,1,0
-1.15788,-0.88078,7.07014,3.94549,0,1
1.97911,1.85930,11.57564,2.12069,0,1
7.66822,-2.07575,14.04797,7.12426,1,0
2.40613,0.06020,9.91834,5.21687,1,0
1.95185,0.52107,10.00339,-1.39030,1,0
-2.34092,0.15229,5.89229,1.67777,0,1
0.42489,2.45041,8.83295,6.30839,0,0
7.75050,-2.21280,18.48896,9.24237,1,0
-0.63348,3.34711,13.61397,6.67696,0,1
-1.14014,-0.55925,12.62373,4.50296,0,1
0.75708,5.31403,9.18749,0.43694,1,1
4.59433,4.37695,14.16689,3.34124,0,1
-0.65456,0.27114,9.72792,3.04419,1,1
-2.69310,2.13242,7.20482,-0.12273,0,0
-0.23491,2.93823,9.85062,1.50523,1,1
1.52122,-1.11159,8.07967,4.29003,1,0
2.86508,2.83478,8.03008,3.42199,0,1
-1.72991,0.86582,11.67145,9.67723,0,0
3.12726,1.15442,10.94599,6.76264,0,1
-1.12512,0.72738,10.79418,-0.15965,0,0
-0.09695,-0.24704,7.93131,7.64321,0,0
-1.80706,-0.87911,10.05709,7.91399,0,0
1.52079,-0.64083,6.74314,6.22764,1,0
2.16644,5.60942,10.50139,2.35981,0,1
-2.23443,-1.22494,12.45172,2.98477,0,1
4.56892,5.53567,13.37912,5.92278,1,1
3.25599,1.41740,9.90497,4.71972,1,0
3.91399,2.65015,13.61082,8.07468,0,0
-0.16926,3.65179,6.67369,2.60330,0,0
1.33549,-1.89277,14.22294,2.59858,0,1
3.24270,0.57454,7.95834,5.03735,1,0
-1.10681,-0.56495,9.50245,4.34259,0,1
3.63826,3.69372,9.83035,6.98385,0,1
-2.42106,-0.37750,15.20403,2.87141,1,1
-0.58297,2.41643,8.72911,5.72702,1,0
1.72211,-0.99293,9.27435,2.57434,0,0
3.49742,-3.98747,11.36348,3.72183,1,0
7.62802,1.24183,10.19676,4.82389,1,1
3.65726,-1.61760,6.34609,4.96680,0,1
-3.59932,1.06218,12.16834,5.19300,0,0
-1.44954,5.91996,8.54288,-0.95271,1,0
2.18122,-2.79509,12.21099,6.86438,1,0
0.37947,-2.82497,10.02412,3.44991,1,0
0.83746,-0.16644,6.67717,3.61920,0,1
-0.26382,1.37410,13.60968,7.91720,1,1
1.34931,-0.00609,7.77696,13.15953,1,0
3.82895,2.14328,11.07107,1.93148,1,0
2.58673,2.88632,5.83041,1.94888,0,1
2.28719,-1.59713,9.80851,4.15400,1,0
-1.42062,-0.11195,7.10005,7.16606,1,1
1.16671,1.97725,9.68833,7.55532,0,1
-0.01213,3.59191,8.17451,9.99712,0,0
-4.93739,2.51486,10.28052,6.16413,0,0
2.98404,0.38456,9.32795,3.64107,1,0
0.23098,4.61064,12.13035,4.16211,0,1
3.49344,0.06698,7.83589,8.86802,1,0
6.91349,1.28362,10.25161,4.05572,1,0
-2.06994,2.99871,15.78177,7.61040,1,0
-0.50047,-0.46021,9.72253,2.51672,1,0
0.34102,-4.00317,8.23521,8.40304,0,0
2.67525,1.96249,12.19020,4.85588,0,1
4.47958,0.28386,9.72866,3.21407,0,1
5.65655,0.85107,7.69790,3.79641,0,1
1.72120,2.48451,10.27535,5.49912,1,1
1.78890,-2.25138,7.62468,4.08387,0,0
2.98767,1.31053,9.33087,1.52726,0,0
4.67999,-2.12295,11.01370,7.16916,0,0
2.64736,-1.14681,11.87125,5.76005,1,1
-0.95640,4.23276,11.57498,5.46438,1,0
-0.82397,1.96586,10.39205,5.73453,1,1
0.54816,0.79555,7.58787,7.71016,1,0
3.14234,-0.13099,11.91693,4.44977,1,1
-2.86671,3.39494,7.17085,3.74807,1,0
-0.51910,4.95136,11.69754,3.50575,0,1
8.01976,6.62518,7.82667,0.30645,1,1
0.89039,-0.40632,10.54648,5.82268,1,0
-0.42239,-0.22080,12.23712,7.73406,0,0
-0.63907,1.22983,10.25490,1.88338,0,0
-0.84481,0.63093,10.30614,7.93100,0,0
1.56438,2.42448,13.41203,6.36966,1,1
-0.59725,-3.27642,11.35924,5.11391,0,0
0.08378,-2.71400,10.25083,2.65537,1,0
-2.22475,1.15235,7.02487,6.75956,0,1
0.70540,-0.26026,11.58885,2.64628,1,0
-2.28653,2.77678,12.19443,5.33158,0,0
-1.51681,3.80223,8.08185,9.63566,0,0
-2.75267,0.66629,3.76085,7.39393,1,0
-0.85070,-2.62835,9.40786,3.22265,0,1
-0.21356,0.45907,9.29794,3.67439,0,0
1.06278,2.88139,5.58165,7.17490,0,0
0.52882,3.20482,2.39091,-1.19290,0,1
-1.28296,3.00707,5.63340,6.90752,0,1
-2.04741,-1.83804,9.69691,3.82617,0,0
-2.93690,2.54197,12.94571,5.19064,0,1
0.35996,5.42137,11.72317,1.82881,1,1
2.16486,5.42772,9.34946,-1.13059,0,1
1.93296,4.02327,7.71014,-0.22356,1,1
1.38431,-2.51084,11.12783,5.34511,0,1
-3.48173,-2.18827,8.47833,5.81509,1,1
2.97942,0.62876,13.54525,9.35184,0,0
-1.01269,0.34577,8.90587,6.66436,0,1
5.36554,-2.13544,10.09446,4.14951,0,1
5.95104,3.79486,9.84089,4.95851,1,1
0.66696,0.21278,5.93848,3.26859,0,0
0.25803,0.38806,12.82904,8.58632,1,0
-2.66874,2.46135,7.05999,6.04768,1,0
-1.22430,-3.33276,10.30968,5.14205,1,0
1.75773,-3.07136,9.20198,-1.66333,0,0
1.63217,-1.43876,11.01389,6.35939,0,0
3.86506,-0.66388,9.99552,4.74803,1,0
5.01836,-6.95005,9.01596,7.79776,1,0
3.99819,7.70887,7.80112,11.94032,0,1
0.56899,2.77373,12.14399,3.77154,0,0
-2.36448,-3.07102,18.02555,7.76944,0,1
5.29249,2.39040,8.12245,2.79099,1,0
1.62979,-0.15762,9.93665,4.36293,1,1
4.96404,0.97123,8.14836,5.78478,1,0
3.08997,0.56256,10.41169,-0.88395,0,1
-1.29399,1.75698,10.92229,8.44519,1,0
3.32327,1.96455,10.89112,0.58047,1,0
1.40003,1.10656,10.92222,2.02426,0,0
0.70259,0.44292,8.57563,7.72584,0,1
2.41282,-0.96880,7.81325,3.67013,0,0
1.95211,1.34981,8.40366,3.63657,0,1
5.42403,5.44780,13.65495,3.36089,0,1
1.78887,-0.23568,5.64588,9.08436,1,0
2.30650,-2.16848,5.34249,4.54905,0,1
4.44502,5.30658,12.65241,6.59096,1,1
2.79515,-3.20218,6.61963,1.53229,1,0
3.77219,2.75248,12.90365,3.01670,1,0
-8.23766,1.39992,10.36234,5.05414,0,1
-0.88607,2.17634,11.10859,6.90302,1,1
-2.12961,0.14505,11.17649,7.37999,0,1
-1.32808,1.48170,12.64629,4.99388,1,1
3.86262,2.63727,12.50752,6.81250,0,1
2.69663,1.42597,11.88688,5.84610,0,1
-1.34235,-2.60366,8.46872,0.06285,0,0
2.12183,-1.74281,13.56027,6.62699,0,0
-2.71908,-1.28519,9.04448,5.72390,1,1
1.25840,4.20153,11.27504,3.45389,0,0
1.16005,1.49310,11.33992,3.97090,0,1
6.72104,2.80572,5.13734,7.90318,0,1
2.61711,-2.81058,7.31738,5.43300,1,0
4.59243,3.79487,10.01008,9.81509,1,1
0.36160,5.21849,9.69418,3.54068,0,1
5.68485,-1.29532,10.60886,1.19738,1,0
-1.64886,-2.30942,11.20925,6.12616,0,0
0.82112,2.05373,7.35681,2.82576,0,0
1.79750,0.22274,10.04807,4.03753,0,1
-2.12169,-0.82776,12.18731,8.80392,0,0
-0.74747,3.48119,11.34072,5.59922,0,1
-0.65035,1.55718,8.44342,7.88209,0,0
4.71754,5.83888,7.45635,1.75425,0,1
0.21366,-1.60412,8.19213,4.42539,1,0
0.30890,1.32480,5.81131,4.71642,1,1
3.37191,2.14405,9.63076,4.06415,1,1
1.18865,-0.82391,11.20130,2.24866,1,0
1.63789,-0.86899,6.76132,4.40169,1,0
1.62131,-0.14117,8.95006,3.94200,0,1
-0.15748,-0.69390,6.43810,5.69860,1,0
1.81385,4.89336,12.28091,7.88478,1,1
0.02020,-0.82080,14.83772,3.75269,0,0
2.84287,-3.51044,8.31232,5.46354,1,0
0.55689,1.43078,8.90496,0.52414,1,0
0.15663,-0.12651,10.76852,4.40606,0,1
0.51311,-0.80867,11.49195,-0.19221,0,0
5.76184,-0.72798,14.60585,6.66263,1,0
-0.38038,4.53810,5.62646,0.44529,1,0
1.59283,0.01268,5.90986,6.88509,1,0
6.05883,2.95831,8.29662,-1.30620,1,0
2.47952,3.21131,8.47342,7.19805,1,1
0.07552,-3.52247,6.88435,1.68723,0,0
3.00940,-5.86933,11.47260,5.33319,1,0
-2.66435,4.97568,8.21931,3.42776,1,0
-1.61311,0.97716,10.40156,7.40570,0,0
4.29027,8.01238,7.94167,5.52724,0,1
3.47140,3.87182,7.76385,5.13909,0,1
0.92184,0.88628,17.36716,3.13947,0,0
2.04918,2.76203,8.64455,6.80932,1,0
7.29120,7.28798,5.01503,6.37855,0,1
2.56812,0.78354,11.54200,1.59055,0,1
1.12106,3.96532,9.30264,6.66984,1,0
-0.60426,4.23985,9.29970,2.27332,0,0
-1.89373,5.20458,8.59783,8.09892,1,0
6.64529,1.34160,6.44620,2.87985,0,1
-0.55763,-1.98692,8.21659,2.03934,0,0
1.28762,-1.39895,8.40659,1.32209,0,0
2.39888,1.31816,10.61488,4.03963,0,0
-1.23321,-1.30626,9.71123,8.56544,1,0
-0.76144,4.73276,11.18889,4.81886,1,1
5.98010,2.46699,11.27537,5.13025,0,1
0.74400,7.05608,4.56753,3.85984,1,1
1.37308,3.68512,11.59734,5.59872,0,1
0.57578,2.78279,7.31015,3.12460,0,0
-1.89342,-0.09651,4.31601,5.07344,0,0
1.47432,4.83461,5.75710,8.77276,1,1
4.05608,3.12738,11.13220,7.50761,1,1
5.05927,-1.55152,10.58241,3.88039,1,0
-4.02739,-1.68041,10.28628,6.94531,1,1
4.40507,0.23050,11.56369,1.18764,0,0
-3.13741,-0.80343,15.51055,4.26322,0,0
5.41092,5.47393,10.89796,9.78099,0,1
2.38893,7.04860,14.50933,6.71626,1,1
4.19053,0.64301,10.07149,2.35198,0,1
0.11244,5.05595,9.51170,0.60015,0,1
0.16969,0.35909,5.25321,2.90165,0,1
0.39092,5.28121,9.97233,4.96506,1,1
6.27667,3.95419,7.77395,11.71309,1,1
2.75589,5.24910,4.61873,5.87759,1,1
1.81888,3.75206,10.41753,7.40742,1,0
-0.19509,-1.03311,5.72719,7.80051,1,0
-0.52271,2.82437,9.95393,9.28994,1,0
4.66168,2.85792,11.60490,3.98946,1,1
-0.24470,-2.08824,8.46453,6.91642,1,0
-4.69196,0.54601,10.30963,5.41458,0,0
3.32964,-2.30661,7.47489,4.71900,1,1
-2.27869,5.27806,7.58880,2.17013,1,0
-4.60571,0.32953,11.77548,10.08003,1,1
3.86227,2.23977,7.53148,3.03040,1,1
3.17636,3.45410,8.32644,6.45755,0,1
3.81523,1.22962,12.61309,1.67573,0,0
1.03659,2.13533,10.18385,6.05367,1,0
7.36831,2.12533,12.73279,6.96805,0,1
2.67053,1.05613,13.44234,9.57165,0,1
1.29893,0.65940,11.31020,6.32383,0,0
3.44359,6.57732,2.35363,2.46600,0,1
5.27487,4.17766,6.09478,3.74539,0,1
-1.06753,0.83127,6.32542,4.54033,0,0
1.80666,-0.68318,11.26371,2.00516,0,1
-0.00350,-0.12750,10.21302,7.95206,1,0
-3.57293,-4.45759,7.36130,4.43067,0,0
-3.50968,2.76911,14.22667,6.62389,0,0
-0.60905,1.43291,4.23663,-0.73623,1,0
1.53331,2.88990,5.98957,-4.50541,1,0
2.79563,1.31071,7.42730,5.60041,1,0
-3.72432,2.12259,11.06448,3.92707,0,1
3.06132,-1.11987,7.16140,7.28730,1,0
