@relation pandasdata
@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute SA{1,0}
@attribute class{0,1}
@data
-0.01973,1.07971,9.45683,6.23497,1,0
-4.57484,-0.16868,14.71792,3.89924,1,1
6.40040,3.66597,8.65794,9.60775,0,1
-1.82539,-0.77218,13.80570,2.81125,0,1
0.22265,1.10917,14.95229,6.43084,1,0
-2.12169,-0.82776,7.66344,8.04482,0,0
1.15734,-0.48904,14.03018,10.56313,1,0
3.63771,-1.25665,5.90229,7.77488,0,1
0.22925,1.61810,8.37073,1.28932,1,0
-0.69511,2.42437,14.66803,11.65759,0,1
1.01646,2.81182,8.13956,6.01359,1,0
-0.31931,0.75895,10.15322,11.95479,0,1
1.64459,1.79192,7.31937,6.54804,0,1
2.46052,-1.72347,8.84564,5.06085,1,0
2.54504,-1.21726,15.51055,4.26322,0,0
5.39012,-0.92769,5.59956,-2.96778,1,0
1.34273,-2.80868,9.41827,8.81886,0,0
2.69122,-0.20667,8.46872,0.06285,0,0
-0.30086,1.30668,9.96015,-3.69548,1,1
3.73127,2.11090,11.08550,4.83383,0,0
1.52949,-0.58735,8.88494,6.06094,1,0
-2.83807,5.62895,6.12015,2.71410,1,0
3.41725,-2.78692,9.84364,5.05854,1,0
0.29192,1.95698,9.86971,8.54351,0,0
-2.41277,3.14122,6.05021,6.74354,1,0
0.04694,2.11371,12.79259,7.02614,1,0
0.61026,3.06928,11.86701,10.40003,1,0
3.93219,1.80851,8.80551,10.72005,1,1
-0.67480,4.42818,10.29113,4.66105,0,0
-2.57487,0.87212,11.77115,6.07444,0,0
-4.69196,0.54601,4.22238,1.35578,0,0
4.36913,-1.97386,10.05709,7.91399,0,0
0.45089,2.03691,9.90310,1.50368,0,0
3.34049,-1.53597,11.98038,3.86354,1,0
-3.35855,1.59864,9.63609,4.61865,1,0
2.32106,2.54483,8.53163,5.60616,0,1
2.04481,0.16596,11.11239,4.13955,0,1
2.35941,5.68947,8.75895,1.24691,0,0
-0.32339,-0.83522,8.54288,-0.95271,1,0
8.67686,0.58822,9.81974,7.39477,0,1
-0.62459,3.27553,12.03279,4.16618,0,0
-0.67107,-0.20583,11.67812,0.62684,0,0
0.99619,1.05377,11.01389,6.35939,0,0
-0.23162,-1.53080,8.95557,5.46390,0,0
0.39595,-0.23851,7.81325,3.67013,0,0
-1.51963,-1.77082,16.04080,-0.01928,0,0
-0.07924,2.87515,8.14069,5.32869,1,0
5.31638,0.15330,11.25582,6.45357,0,0
-0.58238,0.15315,12.66180,4.86573,0,0
4.08306,1.55394,10.99378,8.72497,1,1
2.63989,0.33055,12.13264,3.52724,1,0
-3.07343,2.94656,6.94234,0.87162,1,0
3.55226,0.22723,9.52490,0.81419,0,0
3.00610,2.29455,6.74314,6.22764,1,0
2.49193,-1.62723,6.44291,0.45707,1,0
-0.27377,-2.61136,11.30505,8.68958,0,0
0.84921,1.16050,10.06088,8.43432,1,1
2.01969,2.86927,9.69449,7.38662,1,0
-1.14573,-0.69380,11.27504,3.45389,0,0
0.43663,2.77339,10.14587,7.49650,0,1
1.59644,-0.08729,10.50897,5.80856,0,1
1.72985,5.57703,4.85694,6.34923,1,1
3.20506,4.50491,14.57284,8.04663,1,1
2.20504,-0.11296,8.51396,3.01584,1,0
1.01793,1.84202,5.40583,3.56059,1,1
5.95088,5.08646,15.16414,5.90372,0,1
6.76652,3.29178,12.03309,4.59700,0,1
0.98392,3.02166,7.44859,8.46718,1,1
3.32913,-1.66696,8.08185,9.63566,0,0
-1.99671,3.41398,12.36966,5.33090,1,0
6.19191,-2.17488,9.51438,2.72557,1,0
5.39980,0.95653,5.84909,1.22030,1,0
-2.05252,-0.73929,11.73337,6.40169,0,0
-0.40092,2.97122,8.23521,8.40304,0,0
3.45239,1.48627,7.33444,4.39216,1,0
0.95831,2.69852,8.23542,9.75010,0,0
-0.65986,1.09902,11.39123,4.99208,0,0
0.86048,2.29291,10.93327,4.81442,0,0
-0.32254,-1.37700,5.60474,2.94358,1,0
1.64209,3.63953,11.37464,13.29169,0,0
-6.59144,9.59283,9.03227,2.31555,1,0
1.73598,-0.96827,15.09806,0.87360,0,0
5.73491,-2.57242,9.40324,2.73555,1,0
1.82905,1.94667,10.48589,8.91477,0,1
2.04200,2.18316,11.34794,8.63821,0,0
-1.36470,1.14326,11.50936,4.98181,1,0
0.39021,3.01455,8.66917,6.42456,0,0
-3.46338,4.42624,10.57867,7.72352,1,0
-0.54308,1.96081,11.13642,8.63609,0,0
-2.27064,5.74502,12.14653,3.59901,0,1
-3.72786,5.68446,9.42043,6.11455,1,0
-0.74167,1.67070,12.45033,7.63443,1,0
1.01120,2.14800,8.59619,2.08124,1,0
0.49637,3.32641,13.56027,6.62699,0,0
0.82715,1.95212,9.29557,6.26783,1,0
0.61918,3.46528,13.95186,6.03781,1,0
-0.10269,2.68873,13.30502,4.43784,0,1
-2.83495,3.23698,10.22490,4.34710,1,0
-0.65456,0.27114,8.63094,9.68923,1,1
-1.15322,6.32944,11.28670,9.66601,1,0
0.08695,-0.04824,11.12153,6.02191,0,0
-2.74845,5.24388,6.49469,3.25980,0,0
1.51647,2.58175,12.19447,4.19258,1,0
3.52109,5.29699,6.12820,5.18561,0,1
-2.45263,1.45248,9.55891,3.87777,0,1
-0.44720,-0.18501,10.06416,5.51395,0,0
0.63942,2.59577,12.33569,4.83072,1,0
-0.12907,-1.66637,9.33138,4.47322,0,0
4.18810,-1.22412,7.95623,3.57122,1,0
0.17523,1.82691,13.84993,2.72224,1,0
0.86387,0.42353,13.13089,5.36476,1,0
-0.43787,-2.43185,9.46026,10.94799,0,0
-2.67282,3.19538,9.25318,4.51412,0,0
1.66369,-0.63148,14.25698,3.86557,1,0
0.25285,4.44869,7.42419,5.60209,1,0
-0.70206,-0.13390,5.36151,7.39252,0,0
2.89838,2.82064,10.22437,-0.58488,0,1
-1.36386,5.12682,7.36487,6.89617,1,0
-1.07114,4.44436,10.59655,10.41235,1,0
-2.42106,-0.37750,8.26924,3.82037,1,1
2.20813,-2.25300,9.94791,10.31404,0,0
-0.08354,3.23939,6.58321,7.21920,0,0
0.56899,2.77373,12.05377,4.70134,0,0
0.51305,4.23768,6.45350,3.81481,0,1
4.58577,5.18964,13.40618,0.90520,0,1
2.52583,-0.20492,9.46929,3.65247,0,0
3.03824,1.48479,6.57419,4.36523,0,0
-1.36682,3.29228,8.19458,6.31925,1,0
-0.25281,1.39638,7.58276,2.96775,1,0
-0.72314,3.94737,7.52955,2.12110,1,0
2.45854,2.80102,10.33708,4.85067,0,1
2.97942,0.62876,6.42791,2.90180,0,0
0.29648,0.99688,13.57629,6.95173,0,0
-1.94791,0.00356,7.06301,8.56427,0,1
0.05810,-1.74589,12.12236,4.30276,0,0
-1.42062,-0.11195,6.48451,3.16567,1,1
1.08951,-1.84198,7.28170,5.54135,0,0
-0.27905,2.59591,9.36008,5.99878,1,0
2.62422,-1.08245,7.79330,-1.39842,0,0
-0.24372,0.90557,6.81830,7.37918,0,0
-1.42549,1.79862,13.24799,1.70978,1,0
4.02654,2.91535,9.98896,4.38666,0,1
1.24608,1.66887,11.99347,4.43551,0,0
-1.10946,4.68902,8.05111,1.58924,1,0
1.60174,3.74974,13.97019,5.27362,1,0
2.15370,2.44339,9.52616,5.40611,1,0
6.25961,-2.24647,9.31722,6.62926,0,1
-5.24716,-1.29680,10.70672,7.19724,0,0
-1.08813,4.28281,8.24388,3.66760,1,0
-2.05681,-0.16033,11.28985,9.43992,1,0
-0.54151,-0.61539,7.20482,-0.12273,0,0
1.05210,4.95338,9.90201,3.32725,0,1
-1.89289,0.02755,10.30963,5.41458,0,0
1.55374,0.98713,8.17440,7.10351,0,1
4.08852,3.56068,13.27228,3.90090,1,0
-0.82397,1.96586,7.61842,2.94112,1,1
2.63362,0.55627,7.05683,1.05180,1,0
7.38553,0.05291,7.16071,2.74160,0,1
-0.37658,-3.81498,10.90430,3.33344,0,0
-3.26244,-1.74244,11.40935,2.19894,0,1
2.69925,-2.42167,11.76074,1.48587,0,1
1.74579,1.95604,10.38146,2.10970,1,0
-1.37234,2.86223,12.45493,0.79771,0,0
2.94729,0.43898,11.91348,4.94299,0,0
1.26098,6.94611,8.70282,5.36017,1,0
-0.75127,-4.83028,14.43484,4.13114,0,1
1.63217,-1.43876,12.27000,7.44911,0,0
4.77685,-3.67128,9.82915,3.97781,1,0
7.01111,1.45128,9.71123,8.56544,1,0
6.66991,-2.03798,7.70807,6.13502,1,0
1.37431,-1.02493,14.46008,6.68953,1,0
-1.06367,-1.51904,8.04569,3.12454,1,0
5.90129,-1.03219,6.99915,3.68194,0,0
-3.52626,3.64013,9.86491,7.39416,1,0
0.82112,2.05373,7.50357,4.40249,0,0
2.18921,4.71075,5.71130,8.63418,0,1
2.82252,0.70524,11.61458,11.69511,1,0
-1.46623,0.34705,8.34828,3.38022,0,0
-0.58689,1.83480,13.64260,4.67460,0,0
-1.87415,1.45009,9.01092,3.10676,0,0
5.02749,8.44512,8.07013,2.51957,0,1
1.94346,1.02853,14.30114,4.27665,0,0
-0.85924,2.12978,7.93712,4.93745,0,1
0.26632,1.62063,12.24497,3.21249,1,0
-3.48173,-2.18827,11.37131,2.21500,1,1
2.35392,2.83136,9.57480,6.27518,0,0
3.12874,2.10391,9.20198,-1.66333,0,0
-0.42746,0.03776,9.29970,2.27332,0,0
5.95104,3.79486,10.68408,2.57293,1,1
2.19798,1.82511,8.30310,4.12202,0,1
1.93449,-0.64062,10.14068,7.07617,1,0
2.20135,-1.62543,9.79587,5.74138,1,0
1.72317,-0.53971,6.65066,6.70072,1,0
4.99361,3.10872,11.54861,1.81112,0,0
-1.89342,-0.09651,6.63638,6.15184,0,0
-0.41979,3.08791,8.09690,4.94744,0,0
-1.21837,-1.52488,7.47832,3.05549,0,0
2.55099,2.45251,9.33626,9.75486,0,0
0.34466,-0.01981,8.99419,5.06259,1,0
-3.11770,0.37697,5.60375,7.32233,0,1
5.00683,-1.53265,10.43073,7.06381,1,0
1.62979,-0.15762,10.79644,6.98760,1,1
-7.76907,6.84622,9.95170,6.32195,1,0
0.90234,2.36369,5.92818,7.03677,1,0
-0.41730,4.45499,11.92640,4.21779,0,1
-2.54669,4.46860,13.94476,9.28993,1,0
2.00183,0.37355,9.52977,8.86839,0,0
2.76692,-0.72770,9.64981,3.35946,1,0
2.87680,-0.29935,17.88347,7.32322,1,0
3.95225,-1.20311,7.30602,0.11421,1,0
3.56223,2.09490,11.08179,7.78051,1,0
0.26186,0.58689,5.82653,1.86413,0,0
2.30312,1.50779,6.14190,6.89216,1,0
4.44502,5.30658,8.92358,1.65736,1,1
-0.08306,-0.88376,7.43070,0.45643,1,0
-1.16225,-1.18210,6.53832,-0.82065,0,0
-0.69072,1.55339,11.03751,6.31525,0,1
-0.77875,0.77596,13.09647,3.15667,0,1
2.83921,-4.42862,9.90344,5.58486,0,0
5.66111,2.85197,10.44554,6.26641,0,1
2.32048,3.13430,8.52594,5.83833,1,0
-3.41550,0.58883,10.72624,1.33490,1,0
4.18741,0.48039,9.82068,2.85046,1,0
0.57578,2.78279,10.10859,5.62876,0,0
1.40610,4.04159,10.13614,6.21735,0,1
0.78272,1.64201,11.29950,7.13516,0,0
3.84762,2.46826,12.12218,2.82109,0,1
-0.24851,5.45149,13.99720,7.95530,0,1
3.54863,-1.94932,13.89525,3.46634,0,0
-0.79471,-4.43497,8.92212,7.18046,0,1
4.69489,-1.30294,11.14233,1.73315,1,0
