@relation pandasdata
@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute SA{1,0}
@attribute class{0,1}
@data
2.62601,2.36322,10.55104,6.95228,1,1
5.71970,2.51308,7.70678,6.24680,0,1
-2.27105,0.37647,9.81382,4.44372,1,1
-1.15545,-3.28727,5.37742,5.08687,0,1
5.14410,0.75323,14.96187,7.08770,1,1
0.31317,1.65126,9.43401,3.87983,1,1
0.95213,0.77299,11.22689,6.37497,1,1
-4.37483,-2.91966,6.02191,4.74980,0,0
-1.79751,0.57886,5.49182,3.00843,0,1
3.61433,8.09953,11.12241,10.79595,0,1
6.26589,-0.24546,10.71546,5.01815,0,1
-1.91960,0.91031,10.19433,4.26508,0,1
0.69064,0.72302,14.80599,7.43078,0,0
4.21157,2.08726,7.66807,6.23008,0,1
-0.29881,1.69723,12.86741,6.09307,0,1
-0.09487,-0.40207,8.44655,2.62168,0,0
3.25476,3.27269,10.09077,8.74279,0,1
3.08365,2.79350,9.80268,8.31017,1,1
-0.47009,-1.27031,9.82514,0.67462,0,1
1.18904,1.82190,7.00591,2.21123,0,0
10.35077,5.64129,9.46189,5.27102,0,1
5.64591,7.03418,10.74512,3.32095,1,1
-0.53913,2.49058,7.89772,2.48179,1,0
0.75627,-2.11644,8.17704,4.67161,1,0
-1.68487,2.43778,7.26750,3.46186,0,1
1.09014,4.98604,10.04872,6.74842,0,1
0.29751,-2.69836,11.65760,5.29561,0,0
6.28339,-1.03915,7.66311,5.54660,0,1
-0.37525,2.37572,12.51889,2.88635,1,1
-5.24833,-2.56225,12.30995,4.40735,0,1
0.58875,2.34716,9.32265,7.76466,0,0
6.86502,-4.09498,9.08336,3.53706,1,0
4.33014,1.83907,6.00715,2.69863,1,1
4.62445,3.31657,11.79808,8.93226,1,1
-0.86755,0.98292,11.35643,10.92616,1,0
2.74242,-1.75004,9.76131,7.00054,1,0
1.71244,-3.74664,13.75396,4.04291,0,0
5.84263,-1.67001,7.53862,8.86025,1,1
-1.70469,0.89083,11.11788,6.58324,0,0
5.99079,7.48051,9.82762,3.15850,0,1
3.87258,1.37684,6.52301,8.74057,1,0
1.46605,2.13289,11.94310,3.62170,0,0
2.67342,2.05470,5.69660,4.18790,1,0
1.23974,2.35201,6.78091,1.24156,1,0
5.47198,-1.01463,11.46513,3.88967,1,0
0.76558,3.47594,10.10792,8.48127,0,1
2.52421,2.29245,8.59110,5.40548,1,0
-0.55848,0.89262,9.28169,3.27220,1,0
3.76030,-1.73761,9.36777,-2.15540,1,0
2.49663,6.44183,9.44737,5.35891,0,0
-1.68645,-2.37571,8.08793,3.35416,0,1
2.08679,-4.07418,17.45079,6.74059,1,0
4.73872,0.50320,9.19528,3.74831,0,1
3.64115,-0.09579,12.22552,7.11195,1,0
1.22290,-1.52631,9.17825,8.83887,1,0
7.29012,-0.07984,8.56024,7.69626,1,0
0.04045,6.21593,6.22425,3.65993,0,1
1.96023,-0.17335,10.62823,6.01945,0,0
4.62647,3.78650,9.73000,3.75709,0,1
-0.61368,1.18378,8.84960,0.88413,1,0
1.59830,2.49022,7.51861,1.23940,0,1
3.44374,1.10727,8.10005,4.80434,0,1
0.21582,3.96783,10.28594,-0.34956,1,0
4.35607,2.67399,4.79160,4.69355,1,0
1.95726,-0.17662,9.01199,4.23576,1,1
3.40467,2.23330,10.09023,1.01369,0,0
1.23693,2.33813,12.55494,0.28297,1,0
6.72164,3.11110,4.88655,6.30627,0,1
1.23293,0.50477,9.23093,5.62654,0,0
0.09564,3.03568,16.26434,7.26595,0,1
-3.87898,0.24604,11.58096,9.85609,1,0
-2.19287,1.12307,12.82912,3.66853,0,0
-2.12865,3.04411,6.41902,3.65773,0,0
2.18743,3.43498,14.61708,8.12274,0,1
0.74403,-4.21819,9.03723,4.21840,0,0
-0.38154,2.13553,13.71930,2.58047,0,1
-1.42186,4.85987,8.84061,3.61841,0,1
0.61014,2.55962,6.76822,4.68806,1,1
0.99579,1.17425,8.53632,7.87124,1,0
0.12667,-2.54479,6.45856,8.50138,0,1
5.47736,-2.69926,10.57538,1.53319,0,0
2.21431,-1.99584,11.60537,6.62789,1,0
1.68281,2.02121,12.13319,2.90697,0,1
-4.81343,4.81533,8.86486,4.92750,0,1
2.56910,-0.12996,8.17569,6.56165,0,1
2.64919,5.03350,7.40033,5.16468,0,1
1.25258,1.36562,11.50325,8.95788,1,1
4.28692,-2.30674,8.68185,0.56178,1,0
0.90509,0.16625,6.52570,6.64040,0,1
0.46014,2.75157,8.95811,2.65757,1,0
-1.34939,0.63106,6.12223,3.16322,0,0
-0.39895,3.69126,9.61843,7.09760,1,0
-3.35891,-1.04102,8.02293,4.63411,0,1
2.37838,3.08010,13.82567,11.53898,1,0
